idx,cost,runtime_ms,search_iters,path
0,69856,1533,745,196 81 90 165 138 14 144 49 102 62 9 148 124 94 63 79 133 162 151 80 176 137 23 186 89 183 143 0 117 93 140 68 46 139 115 51 118 59 65 116 43 42 5 41 193 159 69 108 18 22 146 181 34 160 184 48 54 177 10 190 4 112 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 
1,69397,1533,647,120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 196 81 90 165 138 14 49 102 144 62 9 148 124 94 63 79 80 176 137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 
2,69565,1531,494,177 54 48 34 160 181 42 43 116 65 59 118 115 46 68 139 41 193 159 146 22 18 69 108 140 93 117 0 143 183 89 186 23 137 176 80 51 151 162 133 79 63 94 124 148 9 62 102 144 14 49 178 106 52 55 57 129 92 179 185 165 40 90 81 196 145 78 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 112 4 84 35 184 190 10 
3,69639,1535,1257,183 89 23 137 148 9 62 144 14 49 178 106 52 55 57 129 92 78 145 179 185 40 165 39 27 90 81 196 157 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 162 151 133 79 63 94 80 176 51 118 59 65 116 43 42 184 35 84 112 4 190 10 177 54 48 160 34 181 146 22 18 108 69 159 193 41 139 115 46 68 140 93 117 0 143 
4,69620,1536,751,106 178 49 14 144 62 9 148 137 23 186 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 176 80 94 63 79 133 151 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 82 129 57 92 179 145 78 16 171 175 113 56 31 157 196 81 90 165 40 185 55 52 
5,69652,1539,307,25 44 120 82 92 57 129 2 75 86 101 1 152 97 26 100 121 53 180 154 135 70 127 123 162 133 151 51 118 59 65 116 43 42 184 35 84 112 4 190 10 177 54 48 160 34 181 146 22 18 108 69 159 193 41 139 115 46 68 140 93 0 117 143 183 89 23 137 176 80 79 63 94 124 148 9 62 102 144 14 49 178 106 52 55 185 40 165 90 81 196 179 145 78 31 56 113 175 171 16 
6,69378,1529,1313,70 135 154 180 53 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 196 81 90 165 138 14 144 49 102 62 9 148 124 94 63 79 133 162 151 51 80 176 137 23 186 89 183 143 0 117 93 140 108 69 18 22 146 159 193 41 139 68 46 115 118 59 65 116 43 42 181 34 160 48 54 177 10 190 184 35 84 4 112 123 127 
7,69396,1531,953,80 176 137 23 186 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 100 26 97 152 1 101 86 75 2 120 44 25 16 171 175 113 56 31 78 145 92 129 57 55 52 179 196 81 90 27 39 165 40 185 106 178 49 14 144 62 9 148 124 94 63 79 
8,69404,1531,529,55 52 106 178 49 14 144 102 62 9 148 124 94 63 79 133 80 176 137 23 186 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 184 42 43 116 65 59 118 51 151 162 123 127 70 135 154 180 53 121 100 26 97 152 1 101 86 75 2 129 57 92 82 120 44 25 16 171 175 113 56 31 78 145 179 196 81 90 165 40 185 
9,69364,1531,1262,146 22 18 108 140 93 117 0 143 183 89 186 23 137 176 80 79 63 94 124 148 9 62 102 49 144 14 138 165 90 81 196 40 185 106 178 52 55 57 129 92 179 145 78 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 162 133 151 51 118 59 65 116 43 184 84 112 4 190 10 177 54 48 160 34 181 42 5 115 46 68 139 41 193 159 
10,69553,1541,304,101 1 97 152 2 129 57 92 120 44 25 16 171 175 113 56 31 78 145 179 196 81 90 40 165 185 55 52 106 178 49 14 144 102 62 9 148 124 94 63 79 80 176 137 23 186 89 183 143 0 117 93 140 69 108 18 22 146 159 193 41 139 68 46 115 5 42 181 34 160 48 54 177 10 190 4 112 84 184 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 
11,69455,1528,964,120 44 25 16 171 175 113 56 31 78 145 179 196 81 90 27 39 165 40 185 55 52 106 178 49 14 144 62 9 148 124 94 63 79 80 176 137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 129 57 92 
12,69472,1534,857,1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 196 81 90 39 165 40 185 179 92 129 57 55 52 106 178 49 14 144 102 62 9 148 137 23 186 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 176 80 94 63 79 133 151 162 123 127 70 135 154 180 53 121 100 26 86 75 101 
13,69780,1532,412,46 68 140 93 117 0 143 183 89 186 23 137 176 80 51 151 162 133 79 63 94 124 148 9 62 144 102 49 14 138 165 90 81 196 40 185 106 178 52 55 57 129 92 179 145 78 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 112 4 84 35 184 177 54 48 160 34 181 146 22 18 108 69 159 193 41 5 42 43 116 65 59 118 115 139 
14,69757,1532,1254,49 178 106 52 55 185 40 119 165 90 81 196 179 145 78 31 56 113 175 171 16 25 44 120 92 57 129 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 112 4 84 35 184 177 54 48 160 34 181 42 43 116 65 149 162 151 133 79 63 94 80 176 51 118 59 115 46 68 139 41 193 159 146 22 18 69 108 140 93 117 0 143 183 89 23 137 186 114 15 148 9 62 144 14 
15,69463,1531,735,137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 92 129 57 55 52 179 196 81 90 27 39 165 40 185 106 178 49 14 144 62 9 148 124 94 63 79 80 176 
16,69263,1532,1050,159 193 41 139 115 46 68 140 93 117 0 143 183 89 186 23 137 176 80 79 63 94 124 148 9 62 144 102 49 14 138 165 90 81 196 40 185 106 178 52 55 57 129 92 179 145 78 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 53 180 154 135 70 127 123 162 133 151 51 118 59 65 116 43 42 184 35 84 112 4 190 10 177 54 48 160 34 181 146 22 18 108 69 
17,69805,1531,489,34 160 48 54 177 10 190 4 112 84 35 184 43 42 41 193 139 68 46 115 118 59 116 65 149 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 129 57 92 120 44 25 16 171 175 113 56 31 78 145 179 196 81 90 27 39 165 40 185 55 52 106 178 49 14 144 62 9 148 124 94 63 79 133 162 151 51 80 176 137 23 89 183 143 0 117 93 140 108 18 159 22 146 181 
18,69428,1532,702,178 106 52 55 57 129 92 78 145 179 185 40 165 39 90 81 196 157 31 56 113 175 171 16 25 44 120 2 152 97 1 101 75 86 26 100 121 53 180 154 135 70 127 123 162 133 151 51 118 59 65 116 43 42 184 35 84 112 4 190 10 177 54 48 160 34 181 146 22 18 108 69 159 193 41 139 115 46 68 140 93 117 0 143 183 89 23 137 176 80 79 63 94 124 148 9 62 144 14 49 
19,69412,1534,662,48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 92 129 57 179 196 81 90 27 39 165 40 185 55 52 106 178 49 14 144 62 9 148 124 94 63 79 80 176 137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 
