idx,cost,runtime_ms,search_iters,path
0,70320,1602,431,154 180 53 63 79 133 151 162 59 118 51 176 80 94 124 152 1 97 26 100 86 101 75 2 120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 165 90 27 164 7 21 144 14 49 102 62 9 148 15 186 137 23 89 183 143 0 117 93 140 108 18 69 139 46 115 41 193 159 22 146 181 34 160 48 54 177 184 42 43 116 65 149 35 84 4 112 123 127 70 135 
1,70176,1600,428,0 46 68 139 115 5 42 43 116 65 59 118 51 151 162 133 80 176 137 23 183 89 186 114 15 148 9 62 102 144 14 49 178 106 52 55 57 129 92 78 145 179 185 40 165 90 81 196 157 31 56 113 175 171 16 25 44 120 2 1 101 75 86 100 26 97 152 124 94 79 63 53 180 154 135 70 127 123 112 4 84 35 184 177 54 48 160 34 181 41 193 159 146 22 18 108 140 93 117 143 
2,69389,1603,418,9 148 124 94 63 79 80 176 137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 51 151 133 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 196 81 90 165 138 14 144 49 102 62 
3,70136,1612,399,46 115 59 118 51 151 133 162 149 65 116 43 42 184 160 48 54 177 10 190 4 112 123 127 70 135 154 180 53 86 101 75 2 120 44 25 82 129 92 57 179 145 78 16 171 175 113 56 31 157 196 81 90 165 40 185 55 52 106 178 49 14 144 102 62 9 148 124 94 152 1 97 26 100 121 63 79 80 176 137 23 89 183 143 0 117 93 140 108 69 18 22 146 34 181 159 193 41 139 68 
4,69854,1600,411,152 97 1 101 75 86 100 26 94 63 53 180 154 135 70 127 123 149 65 116 43 184 35 84 112 4 190 10 177 54 48 160 34 181 42 41 193 159 146 22 18 69 108 140 93 117 143 0 46 68 139 115 59 118 51 151 162 133 79 80 176 137 23 183 89 186 114 15 148 9 62 144 14 49 178 106 52 55 185 40 165 90 81 196 179 57 129 92 145 78 31 56 113 175 171 16 25 44 120 2 
5,69749,1601,420,127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 92 129 57 179 196 81 90 165 119 40 185 55 52 106 178 49 14 144 62 9 148 124 94 63 79 133 151 162 59 118 51 80 176 137 23 89 183 143 0 117 93 140 108 69 18 22 146 159 193 41 139 68 46 115 5 42 43 116 65 149 35 184 160 181 34 48 54 177 10 190 4 112 123 
6,69524,1601,435,51 176 80 94 63 79 133 151 162 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 56 31 78 145 179 92 129 57 55 52 178 106 185 40 196 81 90 165 138 14 144 49 102 62 9 148 137 23 186 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 35 184 42 43 116 65 59 118 
7,69902,1604,414,165 90 27 164 7 21 14 144 15 114 186 137 23 89 183 143 0 117 93 140 108 18 22 146 34 160 48 54 177 10 190 4 112 84 184 43 42 181 159 193 41 139 68 46 115 116 65 59 118 51 176 80 63 79 133 151 162 123 127 70 135 154 180 53 86 75 101 1 97 152 94 124 148 9 62 102 49 178 106 52 55 57 92 129 2 120 44 25 16 171 175 113 31 78 145 179 196 81 40 185 
8,69986,1604,432,196 81 90 165 40 185 138 14 144 15 114 186 89 183 23 137 176 80 63 79 133 162 151 51 118 59 65 116 43 42 181 159 193 41 139 115 46 68 0 143 117 93 140 108 69 18 22 146 34 160 184 54 177 10 190 4 112 123 127 70 135 154 180 53 121 100 26 86 75 101 1 97 152 94 124 148 9 62 102 49 178 106 52 55 57 92 129 2 120 44 25 16 171 175 113 56 31 78 145 179 
9,69882,1603,429,124 148 9 62 102 49 178 106 52 55 57 92 129 2 120 44 25 145 78 16 171 175 113 56 31 157 196 81 90 165 40 185 138 14 144 15 114 186 137 23 89 183 143 0 117 93 140 68 46 115 139 41 193 159 69 108 18 22 146 181 34 160 48 54 177 10 190 4 112 84 184 42 43 116 65 59 118 51 176 80 63 79 133 151 162 123 127 70 135 154 180 53 26 86 75 101 1 97 152 94 
10,69989,1601,425,137 23 89 183 143 0 117 93 140 108 69 18 22 146 159 193 41 139 68 46 115 118 59 65 116 43 42 181 34 160 184 54 177 10 190 4 112 127 123 162 151 51 176 80 63 79 133 135 70 154 180 53 100 26 97 1 101 86 75 120 44 25 16 171 175 113 56 31 78 145 179 196 81 90 27 39 165 40 185 106 178 52 55 57 92 129 2 152 94 124 148 9 62 102 49 14 144 15 114 186 
11,69917,1600,429,0 143 183 89 23 137 176 80 51 118 59 162 151 133 79 63 94 124 152 2 129 92 78 145 179 57 55 52 106 178 49 102 148 9 62 144 14 138 185 40 165 90 81 196 157 31 56 113 175 171 16 25 44 120 75 86 101 1 97 26 100 53 180 154 135 70 127 123 149 65 116 43 184 35 84 112 4 190 10 177 54 48 160 34 181 42 115 46 68 139 41 193 159 146 22 18 108 140 93 117 
12,70712,1604,425,75 101 1 97 152 94 124 148 9 62 102 49 178 106 52 55 57 92 129 2 120 44 25 16 171 175 113 31 78 145 179 196 81 40 185 165 90 27 71 164 7 21 14 144 15 114 186 137 23 89 183 143 0 117 93 140 68 46 139 115 118 59 65 116 43 42 181 41 193 159 18 22 146 34 160 48 54 177 184 35 84 4 112 123 127 70 135 162 133 151 51 176 80 79 63 180 154 53 26 86 
13,69994,1600,419,133 162 151 51 118 59 65 116 43 42 181 159 193 41 139 115 46 68 0 143 117 93 140 108 18 22 146 34 160 48 54 177 184 35 84 4 112 123 127 70 135 154 180 53 100 26 86 75 101 1 97 152 2 120 44 25 16 171 175 113 31 78 145 179 92 129 57 55 52 178 106 185 165 40 196 81 90 27 71 164 7 21 144 14 49 102 62 9 148 15 186 89 183 23 137 176 80 94 63 79 
