cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
74347,44,89,40.6947,86.9099
73700,54,89,47.3974,87.8438
74123,52,90,42.964,85.992
75327,48,89,43.6737,88.3423
74939,47,90,42.4424,87.01
74305,51,88,44.7317,87.5676
73448,48,89,47.0901,87.5315
73530,46,91,43.029,87.5866
74566,54,88,43.6627,86.6356
73010,52,90,44.7237,87.3784
73466,50,88,44.7528,87.026
73540,51,88,46.4054,86.8659
74438,48,90,42.6156,87.5766
75789,47,89,41.993,85.3363
73560,59,92,45.5756,88.3223
75191,45,87,42.2803,86.6046
74798,53,92,44.6436,88.2422
74349,50,92,44.6857,89.025
74692,48,87,45.0681,86.4454
74327,58,92,46.0761,88.8278
72793,51,89,46.4965,86.7588
74639,57,90,45.3463,87.1812
73056,48,89,45.0711,88.2202
73788,61,93,46.5506,89.7307
74151,55,90,47.9209,88.2232
74362,57,92,46.7528,89.6567
73901,55,91,46.9389,88.1952
72557,59,93,47.4805,89.0941
71776,56,92,47.5686,88.001
73795,51,92,44.3123,88.982
75657,51,90,42.2002,88
73230,56,91,45.7487,87.6426
73655,53,88,46.1852,87.6246
76553,47,89,40.1231,86.3614
73502,51,92,44.3213,89.2162
73949,59,90,46.9439,87.8549
74103,54,91,45.8008,87.5075
74390,48,90,44.8769,88.1502
75066,49,88,42.1962,86.5636
72841,47,94,46.1782,89.5165
74253,54,90,46.3874,87.1121
73080,59,89,48.2442,87.3654
73328,55,91,46.1231,89.5355
73178,58,92,46.9159,88.1802
73096,53,91,44.8408,87.964
73530,58,90,46.1031,87.9369
74094,60,92,46.7287,88.1451
75216,48,89,44.1892,88.4665
74251,52,88,44.1411,86.6847
73471,54,90,45.994,88.2062
72207,64,93,48.5215,89.2513
73879,63,90,47.1321,87.0561
75859,45,89,42.989,88.0631
74325,49,89,43.3033,85.7788
73280,51,90,45.3554,87.8999
71020,63,96,50.8088,89.5916
73443,55,90,46.7928,88.005
72719,62,94,48.3013,89.0671
73518,59,89,47.2933,87.3964
73670,54,89,45.6637,87.8408
73125,55,92,47.4955,88.2152
74501,52,88,45.5696,87.3063
76438,48,88,43.3403,86.3894
73736,54,92,46.9049,88.988
73433,53,93,46.6667,89.1481
72302,60,94,45.4685,88.2723
74172,43,91,40.5786,87.2613
73567,58,92,46.6677,89.5556
74096,55,91,46.5706,88.6747
73676,50,90,45.992,88.9489
74630,54,92,45.5305,88.0821
73556,56,91,46.2382,87.2392
73765,51,90,45.7618,87.023
74821,41,88,41.2973,88.4735
74293,48,90,42.8358,87.4214
