cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
48323,51,82,43.3233,82.3453
48893,45,84,38.7648,80.7457
48015,48,82,44.2983,83.7317
48305,42,85,41.7407,84.2703
49355,42,85,39.3554,82.4454
47354,50,84,41.5095,82.018
48392,45,83,42.3734,83.5536
47565,46,81,43.3594,82.5656
49319,41,75,40.2062,80.7748
49480,47,80,41.004,81.3524
48300,44,80,41.7147,81.3894
50235,40,81,40.7648,82.6947
47742,49,83,42.047,82.9219
49764,40,77,39.8619,80.4124
51133,40,78,37.0781,79.4424
50213,44,80,42.6286,82.045
47613,46,85,43.039,83.1922
48579,39,81,40.4054,82.4414
46813,49,85,45.4244,84.8198
49128,42,82,39.8478,84.2773
48196,47,81,44.3333,83.6156
48142,53,84,41.8138,84.0571
47582,48,79,46.002,81.9429
48353,53,81,44.7778,82.4064
46986,41,84,41.8178,83.3544
48420,51,84,39.5245,79.9259
47623,51,85,40.0761,79.8549
47844,45,83,41.6707,82.3243
47531,58,90,43.3133,85.7708
47881,45,84,43.0831,83.5836
49359,55,85,40.7658,80.7277
47080,58,87,43.4965,83
51359,34,79,35.8759,82.0861
48203,54,84,43.4925,84.1512
49622,51,80,40.6947,80.974
48328,53,82,43.8168,82.8398
47580,49,83,44.1852,84.3814
48956,40,80,42.963,83.0921
48403,41,80,43.014,82.9029
48749,43,84,42.0621,84.2012
48733,40,79,41.6046,82.1151
48659,43,82,42.2262,83.3023
47660,52,86,43.8879,84.2042
50438,49,81,40.037,80.041
47997,46,84,42.5385,82.6597
48009,51,84,41.976,82.5035
49259,44,82,40.7317,82.0921
47227,42,85,43.012,84.4945
48566,46,81,42.4735,82.1772
48019,50,85,42.7538,83.4284
46284,50,87,44.6637,84.2222
49699,40,78,39.8809,82.6196
49669,42,80,40.1862,80.8579
48059,54,84,45.025,83.9259
46943,50,82,44.1642,83.5425
49919,49,79,40.0601,80.7057
48908,50,80,43.6116,81.2713
49405,44,83,38.5596,80.1952
49086,41,80,39.5015,80.3413
47871,52,88,42.4835,84.5025
48403,45,85,41.3443,84.2573
48199,49,85,41.8919,83.7327
49964,44,79,40.5005,83.1401
48505,50,85,41.1642,84.2913
47650,54,84,44.985,84.3273
47525,54,88,43.6947,83.7968
47528,51,85,42.8168,83.7788
50421,44,81,39.4985,82.011
47380,48,82,43.0541,83.028
48084,46,83,41.2382,83.4204
48356,39,84,42.9279,84.6406
48549,51,83,43.0621,83.2452
48520,43,82,42.0951,81.7227
47986,54,85,44.6096,82.8148
47769,53,82,42.9429,83.8759
47836,43,80,42.037,82.5556
48910,40,79,40.6246,82.8829
48386,47,80,43.2893,83.1642
49168,45,82,42.4775,83.4234
48508,38,82,40.7067,84.4464
47556,46,85,44.6847,85.3914
50451,39,80,41.0541,83.3053
49442,42,81,41.6757,82.1892
49657,42,78,42.4525,81.4875
47679,47,83,42.0941,81.5485
46760,52,84,46.7828,84.005
47760,49,85,42.9229,85.4865
48335,50,88,43.0531,84.005
48465,43,80,42.1892,82.7518
50138,51,82,41.8739,82.1151
47221,47,85,40.3664,81.8088
46277,53,88,44.3514,83.7938
48051,48,81,45.8669,85.4765
47215,48,82,43.6166,81.7518
49784,46,83,41.7568,82.6186
47322,41,85,42.2432,84.3764
50383,45,84,36.8549,81.3934
47231,55,87,45.0981,83.2172
46485,54,87,46.1031,84.6436
50029,46,79,42.2603,81.7137
48764,43,81,42.5736,82.8128
47207,48,85,43.8649,83.6326
47449,55,85,44.9379,83.981
47474,60,88,44.1772,84.5546
48789,51,83,43.0591,82.3844
48014,54,88,41.5676,83.4294
48805,48,85,38.3564,81.998
47974,53,85,45.3243,84.4184
46961,45,81,44.5455,83.1562
49354,49,82,40.3784,81.5385
48515,46,84,42.986,84.8599
